|      | game_id                                                             |   num_soundtracks |
|  200 | chou-aniki-bakuretsu-rantou-hen                                     |                 9 |
|  201 | chou-genjin-2                                                       |                13 |
|  202 | chou-mahou-tairiku-wozz                                             |                 2 |
|  203 | choujikuu-yousai-macross-scrambled-valkyrie                         |                18 |
|  204 | christmas-craze                                                     |                 2 |
|  205 | christmas-demo                                                      |                 1 |
|  206 | chrono-trigger                                                      |                21 |
|  207 | chrono-trigger-1995                                                 |                19 |
|  208 | chuck-rock                                                          |                 8 |
|  209 | classic-road                                                        |                 1 |
|  210 | classic-road-ii                                                     |                 3 |
|  211 | clay-fighter                                                        |                 5 |
|  212 | cliffhanger                                                         |                 6 |
|  213 | clock-tower                                                         |                15 |
|  214 | clockworks                                                          |                 8 |
|  215 | clue                                                                |                10 |
|  216 | college-slam                                                        |                 4 |
|  217 | columns                                                             |                 6 |
|  218 | combatribes-the                                                     |                16 |
|  219 | computer-nouryoku-kaiseki-ultra-baken                               |                 5 |
|  220 | congo-the-movie-the-secret-of-zinj                                  |                 4 |
|  221 | congos-caper                                                        |                12 |
|  222 | contra-iii-the-alien-wars                                           |                13 |
|  223 | cool-spot                                                           |                10 |
|  224 | cool-world                                                          |                 6 |
|  225 | corn-buster                                                         |                 6 |
|  226 | coron-land                                                          |                12 |
|  227 | cosmo-gang-the-puzzle                                               |                 2 |
|  228 | cosmo-gang-the-video                                                |                16 |
|  229 | cosmo-police-galivan-ii-arrow-of-justice                            |                 7 |
|  230 | crayon-shin-chan-2-daimaou-no-gyakushuu                             |                 2 |
|  231 | crayon-shin-chan-arashi-wo-yobu-enji                                |                 4 |
|  232 | crayon-shin-chan-nagagutsu-dobon                                    |                 6 |
|  233 | crystal-beans-from-dungeon-explorer                                 |                25 |
|  234 | cu-on-pa-sfc                                                        |                 4 |
|  235 | cyber-knight                                                        |                24 |
|  236 | cyber-knight-ii-chikyuu-teikoku-no-yabou                            |                 1 |
|  237 | cyber-spin                                                          |                17 |
|  238 | cybernator                                                          |                13 |
|  239 | cyborg-009                                                          |                14 |
|  240 | d-force                                                             |                13 |
|  241 | daffy-duck-the-marvin-missions                                      |                10 |
|  242 | daibakushou-jinsei-gekijou                                          |                 9 |
|  243 | daikaijuu-monogatari                                                |                 2 |
|  244 | daikaijuu-monogatari-2                                              |                72 |
|  245 | daisenryaku-expert                                                  |                 3 |
|  246 | daisenryaku-expert-wwii-war-in-europe                               |                 1 |
|  247 | darius-twin                                                         |                14 |
|  248 | dark-half                                                           |                24 |
|  249 | dark-kingdom                                                        |                19 |
|  250 | dark-law-meaning-of-death                                           |                 3 |
