|      | game_id                                                             |   num_videos |
|  173 | cannon-fodder                                                       |           84 |
|  174 | cannondale-cup                                                      |           68 |
|  175 | capcoms-mvp-football                                                |            5 |
|  176 | capcoms-soccer-shootout                                             |          362 |
|  177 | captain-america-and-the-avengers                                    |           11 |
|  178 | captain-commando                                                    |           37 |
|  179 | captain-novolin                                                     |           10 |
|  180 | captain-tsubasa-iii-koutei-no-chousen                               |          532 |
|  181 | captain-tsubasa-iv-pro-no-rival-tachi                               |            5 |
|  182 | captain-tsubasa-j-the-way-to-world-youth                            |           47 |
|  183 | captain-tsubasa-v-hasha-no-shougou-champion                         |           15 |
|  184 | caravan-shooting-collection                                         |           11 |
|  185 | carrier-aces                                                        |           21 |
|  186 | casper                                                              |           37 |
|  187 | casper-1997                                                         |           38 |
|  188 | castlevania-dracula-x-[castlevania-vampires-kiss]                   |           76 |
|  189 | cb-chara-wars-ushinawareta-gag                                      |          575 |
|  190 | champions-world-class-soccer                                        |           17 |
|  191 | championship-pool                                                   |            9 |
|  192 | championship-soccer-94                                              |           18 |
|  193 | chaos-seed-feng-shui-kairouki                                       |            6 |
|  194 | cheap-de-gorgeous                                                   |            6 |
|  195 | chester-cheetah-too-cool-to-fool                                    |           10 |
|  196 | chester-cheetah-wild-wild-quest                                     |           28 |
|  197 | chinhai                                                             |           29 |
|  198 | choplifter-iii-rescue-survive                                       |          123 |
|  199 | chou-aniki-bakuretsu-rantou-hen                                     |           30 |
|  200 | chou-genjin-2                                                       |           39 |
|  201 | chou-mahou-tairiku-wozz                                             |            2 |
|  202 | choujikuu-yousai-macross-scrambled-valkyrie                         |           60 |
|  203 | christmas-craze                                                     |            2 |
|  204 | christmas-demo                                                      |           35 |
|  205 | chrono-trigger                                                      |           21 |
|  206 | chrono-trigger-1995                                                 |           19 |
|  207 | chuck-rock                                                          |           24 |
|  208 | classic-road                                                        |            7 |
|  209 | classic-road-ii                                                     |            3 |
|  210 | clay-fighter                                                        |           15 |
|  211 | cliffhanger                                                         |           52 |
|  212 | clock-tower                                                         |          111 |
|  213 | clockworks                                                          |            8 |
|  214 | clue                                                                |           50 |
|  215 | college-slam                                                        |           10 |
|  216 | columns                                                             |           19 |
|  217 | combatribes-the                                                     |           44 |
|  218 | computer-nouryoku-kaiseki-ultra-baken                               |           11 |
|  219 | congo-the-movie-the-secret-of-zinj                                  |            4 |
|  220 | congos-caper                                                        |           45 |
|  221 | contra-iii-the-alien-wars                                           |           25 |
|  222 | cool-spot                                                           |           46 |
|  223 | cool-world                                                          |           17 |
|  224 | corn-buster                                                         |            6 |
|  225 | coron-land                                                          |           21 |
|  226 | cosmo-gang-the-puzzle                                               |            6 |
|  227 | cosmo-gang-the-video                                                |           29 |
|  228 | cosmo-police-galivan-ii-arrow-of-justice                            |           30 |
|  229 | crayon-shin-chan-2-daimaou-no-gyakushuu                             |            2 |
|  230 | crayon-shin-chan-arashi-wo-yobu-enji                                |           13 |
|  231 | crayon-shin-chan-nagagutsu-dobon                                    |           18 |
|  232 | crystal-beans-from-dungeon-explorer                                 |           25 |
|  233 | cu-on-pa-sfc                                                        |            7 |
|  234 | cyber-knight                                                        |          160 |
|  235 | cyber-knight-ii-chikyuu-teikoku-no-yabou                            |            1 |
|  236 | cyber-spin                                                          |          147 |
|  237 | cybernator                                                          |          102 |
|  238 | cyborg-009                                                          |           52 |
|  239 | d-force                                                             |          122 |
|  240 | daffy-duck-the-marvin-missions                                      |           26 |
|  241 | daibakushou-jinsei-gekijou                                          |            9 |
|  242 | daikaijuu-monogatari                                                |            2 |
|  243 | daikaijuu-monogatari-2                                              |          211 |
|  244 | daisenryaku-expert                                                  |            3 |
|  245 | daisenryaku-expert-wwii-war-in-europe                               |            3 |
|  246 | darius-twin                                                         |           44 |
|  247 | dark-half                                                           |          392 |
|  248 | dark-kingdom                                                        |           19 |
|  249 | dark-law-meaning-of-death                                           |            3 |
|  250 | daruma-doujou                                                       |           94 |
|  251 | date-kimiko-no-virtual-tennis                                       |            4 |
|  252 | david-cranes-amazing-tennis                                         |           19 |
|  253 | daze-before-christmas                                               |           34 |
|  254 | deae-tonosama-appare-ichiban                                        |           76 |
|  255 | dear-boys                                                           |           11 |
|  256 | death-and-return-of-superman-the                                    |           45 |
|  257 | death-brade                                                         |           17 |
