|      | game_id                                                             |   num_videos |
|  415 | gokinjo-bouken-tai                                                  |         1101 |
|  416 | gokujou-parodius                                                    |          111 |
|  417 | golf-daisuki-ob-club                                                |           24 |
|  418 | gon                                                                 |           29 |
|  419 | goods-press-gatsu-gou-3                                             |          444 |
|  420 | goods-press-gatsu-gou-7                                             |          141 |
|  421 | goof-troop                                                          |          183 |
|  422 | gourmet-sentai-bara-yarou                                           |          136 |
|  423 | gp-1                                                                |           56 |
|  424 | gradius-iii                                                         |          282 |
|  425 | granhistoria-genshi-sekaiki                                         |            4 |
|  426 | great-battle-ii-the-last-fighter-twin                               |          187 |
|  427 | great-battle-iii-the                                                |          241 |
|  428 | great-battle-iv-the                                                 |          259 |
|  429 | great-battle-v-the                                                  |          273 |
|  430 | great-circus-mystery-starring-mickey-minnie-the                     |          167 |
|  431 | gt-racing                                                           |            3 |
|  432 | gunforce                                                            |           45 |
|  433 | habu-meijin-no-omoshiro-shougi                                      |            6 |
|  434 | hagane-the-final-conflict                                           |            6 |
|  435 | haisei-mahjong-ryouga                                               |            2 |
|  436 | hajimari-no-mori                                                    |           73 |
|  437 | hakunetsu-professional-baseball-94-ganba-league-3                   |           60 |
|  438 | hakunetsu-professional-baseball-ganba-league-93                     |           10 |
|  439 | hals-hole-in-one-golf                                               |           64 |
|  440 | hameln-no-violin-hiki                                               |          402 |
|  441 | hana-no-keiji-kumo-no-kanata-ni                                     |           11 |
|  442 | hanafuda-ou                                                         |           11 |
|  443 | hanjuku-eiyuu-aa-sekai-yo-hanjuku-nare                              |           59 |
|  444 | hanna-barberas-turbo-toons                                          |           97 |
|  445 | hardball-iii                                                        |          162 |
|  446 | harleys-humongous-adventure                                         |          128 |
|  447 | harvest-moon                                                        |          349 |
|  448 | hashire-hebereke                                                    |           93 |
|  449 | hatayama-hacchi-no-pro-yakyuu-news-jitsumeiban                      |           11 |
|  450 | hayazashi-nidan-morita-shougi                                       |            3 |
|  451 | head-on-soccer                                                      |          186 |
|  452 | hebereke-no-oishii-puzzle-wa-irimasen-ka                            |           69 |
|  453 | hebereke-no-popun                                                   |           70 |
|  454 | heberekes-popoitto                                                  |          121 |
|  455 | heian-fuunden-the                                                   |            2 |
|  456 | heisei-gunjin-shougi                                                |            8 |
|  457 | heisei-inu-monogatari-bow-pop-n-smash                               |          116 |
|  458 | heisei-shin-onigashima                                              |            9 |
|  459 | herakles-no-eikou-iii-kamigami-no-chinmoku                          |           39 |
|  460 | herakles-no-eikou-iv-kamigami-kara-no-okurimono                     |          103 |
|  461 | hercules                                                            |           98 |
|  462 | hero-senki-project-olympus                                          |          835 |
|  463 | hi-no-ouji-yamato-takeru                                            |         1168 |
|  464 | hiouden-mamono-tachi-to-no-chikai                                   |            4 |
|  465 | hissatsu-pachinko-collection                                        |            6 |
|  466 | hisshou-777-fighter-ii-pachi-slot-hi-jouhou                         |            1 |
|  467 | hisshou-777-fighter-iii-kokuryuuou-no-fukkatsu                      |            3 |
|  468 | hisshou-pachi-slot-fan                                              |           13 |
|  469 | hit-the-ice                                                         |           75 |
|  470 | hokuto-no-ken-5-tenma-ryuuseiden-ai-zesshou                         |         1401 |
|  471 | hokuto-no-ken-6-gekitou-denshouken-haou-he-no-michi                 |           31 |
|  472 | hokuto-no-ken-7-seiken-retsuden-denshousha-he-no-michi              |           56 |
|  473 | home-alone                                                          |           93 |
|  474 | home-alone-2-lost-in-new-york                                       |           82 |
|  475 | home-improvement-power-tool-pursuit                                 |          365 |
|  476 | hong-kong-97                                                        |           27 |
