|      | game_id                                                             |   num_videos |
|  220 | demolition-man                                                      |           36 |
|  221 | dennis-the-menace                                                   |           49 |
|  222 | derby-jockey-2                                                      |            3 |
|  223 | derby-jockey-kishou-he-no-michi                                     |            3 |
|  224 | desert-strike-return-to-the-gulf                                    |           13 |
|  225 | dino-dinis-soccer                                                   |           14 |
|  226 | dinocity                                                            |           18 |
|  227 | dirt-trax-fx                                                        |           59 |
|  228 | dokapon-3-2-1-arashi-wo-yobu-yuujou                                 |           10 |
|  229 | dolucky-no-aleague-soccer                                           |           33 |
|  230 | dolucky-no-kusa-yakyu                                               |           14 |
|  231 | donald-duck-mahou-no-boushi                                         |           33 |
|  232 | donkey-kong                                                         |            1 |
|  233 | doom-troopers-the-mutant-chronicles                                 |           14 |
|  234 | doomsday-warrior                                                    |           31 |
|  235 | doraemon-2-nobita-no-toys-land-daibouken                            |           25 |
|  236 | doraemon-3-nobita-to-toki-no-hougyoku                               |           12 |
|  237 | doraemon-nobita-to-yousei-no-kuni                                   |           24 |
|  238 | dorque-and-imp                                                      |            2 |
|  239 | dossun-ganseki-battle                                               |           60 |
|  240 | double-dragon-v-the-shadow-falls                                    |           30 |
|  241 | doukyuusei-2                                                        |           11 |
|  242 | down-the-world-mervils-ambition                                     |            3 |
|  243 | dragon-ball-z-chou-gokuu-den-kakusei-hen                            |           50 |
|  244 | dragon-ball-z-chou-gokuu-den-totsugeki-hen                          |          119 |
|  245 | dragon-ball-z-hyper-dimension                                       |           45 |
|  246 | dragon-ball-z-super-butouden                                        |           24 |
|  247 | dragon-ball-z-super-butouden-2                                      |           36 |
|  248 | dragon-ball-z-super-butouden-3                                      |           39 |
|  249 | dragon-knight-4                                                     |            5 |
|  250 | dragon-quest-i-ii                                                   |          120 |
|  251 | dragon-quest-iii-and-into-the-legend                                |           24 |
|  252 | dragon-quest-v-hand-of-the-heavenly-bride                           |           77 |
|  253 | dragon-quest-vi-realms-of-reverie                                   |           90 |
|  254 | dragon-slayer-eiyuu-densetsu                                        |           73 |
|  255 | dragon-slayer-eiyuu-densetsu-ii                                     |            5 |
|  256 | dragon-the-bruce-lee-story                                          |           26 |
|  257 | dragons-earth                                                       |           57 |
|  258 | dragons-lair                                                        |           16 |
|  259 | drakkhen                                                            |           65 |
|  260 | dream-basketball-dunk-hoop                                          |           19 |
|  261 | dream-tv                                                            |           25 |
|  262 | drift-king-shutokou-battle-2                                        |            6 |
|  263 | dual-orb-ii                                                         |          157 |
|  264 | dual-orb-seireiju-densetsu                                          |          110 |
|  265 | dun-quest-majin-fuuin-no-densetsu                                   |            8 |
|  266 | dungeon-master                                                      |            7 |
|  267 | dynamitracer                                                        |            5 |
|  268 | earth-defense-force                                                 |           55 |
|  269 | earth-light-luna-strike                                             |            6 |
|  270 | earthworm-jim                                                       |           25 |
|  271 | edo-no-kiba                                                         |           42 |
|  272 | eek-the-cat                                                         |            4 |
|  273 | eien-no-filena                                                      |          117 |
|  274 | elfaria-a-fantastic-theater                                         |           10 |
|  275 | elfaria-ii-the-quest-of-the-meld                                    |          102 |
|  276 | elite-soccer                                                        |            6 |
|  277 | emerald-dragon                                                      |            7 |
|  278 | emmitt-smith-football                                               |           21 |
|  279 | energy-breaker                                                      |           21 |
|  280 | equinox                                                             |          345 |
|  281 | esparks-ijikuu-kara-no-raihousha                                    |            3 |
|  282 | espn-baseball-tonight                                               |            3 |
|  283 | espn-national-hockey-night                                          |            8 |
|  284 | espn-speed-world                                                    |            3 |
|  285 | espn-sunday-night-nfl                                               |          156 |
|  286 | eurit                                                               |            8 |
|  287 | excitebike-bun-bun-mario-battle-stadium                             |            5 |
|  288 | extra-innings                                                       |           21 |
|  289 | f-1-grand-prix                                                      |           88 |
|  290 | f-1-grand-prix-part-ii                                              |           23 |
|  291 | f-1-grand-prix-part-iii                                             |           32 |
|  292 | f-1-roc-ii-race-of-champions                                        |           11 |
|  293 | f-1-roc-race-of-champions                                           |           60 |
|  294 | f-zero                                                              |          110 |
|  295 | f1-pole-position                                                    |           44 |
|  296 | f1-pole-position-2                                                  |           33 |
|  297 | f1-world-championship-edition                                       |            5 |
|  298 | famicom-tantei-club-2-ushiro-ni-tatsu-shoujo                        |            2 |
|  299 | family-dog                                                          |           20 |
|  300 | family-feud                                                         |           32 |
|  301 | farland-story                                                       |            5 |
|  302 | farland-story-2                                                     |            6 |
|  303 | fatal-fury                                                          |           24 |
|  304 | fatal-fury-2                                                        |           37 |
|  305 | fatal-fury-special                                                  |           40 |
|  306 | fifa-soccer-96                                                      |            4 |
|  307 | fifa-soccer-97                                                      |           16 |
|  308 | fifa-soccer-97-1996                                                 |           63 |
|  309 | fighters-history                                                    |           27 |
|  310 | fighters-history-mizoguchi-kiki-ippatsu                             |           36 |
|  311 | final-fantasy-iv                                                    |           31 |
|  312 | final-fantasy-mystic-quest-[mystic-quest-legend]                    |           31 |
|  313 | final-fantasy-v                                                     |           55 |
|  314 | final-fantasy-vi                                                    |           58 |
|  315 | final-fight                                                         |           57 |
|  316 | final-fight-2                                                       |           38 |
|  317 | final-stretch                                                       |            4 |
|  318 | finalset                                                            |            2 |
|  319 | fire-emblem-monshou-no-nazo                                         |           64 |
|  320 | fire-emblem-thracia-776                                             |          121 |
|  321 | fire-pro-joshi-all-star-dream-slam                                  |           34 |
|  322 | firearm                                                             |           27 |
|  323 | firemen-the                                                         |           63 |
|  324 | firepower-2000                                                      |           57 |
|  325 | firestriker                                                         |           64 |
|  326 | fireteam-rogue                                                      |           15 |
|  327 | first-queen-ornic-senki                                             |            6 |
|  328 | first-samurai                                                       |           37 |
|  329 | flashback-the-quest-for-identity                                    |            5 |
|  330 | flintstones-the                                                     |           28 |
|  331 | flying-hero-bugyuruu-no-daibouken                                   |           60 |
|  332 | football-fury                                                       |           18 |
|  333 | foreman-for-real                                                    |           26 |
|  334 | frognes                                                             |            1 |
|  335 | front-mission                                                       |           30 |
|  336 | full-throttle-all-american-racing                                   |            9 |
|  337 | fun-n-games                                                         |           22 |
|  338 | fushigi-no-dungeon-torneko-no-daibouken                             |           52 |
|  339 | gakkou-de-atta-kowai-hanashi                                        |           30 |
|  340 | galaxy-wars                                                         |           11 |
|  341 | gamars-copier                                                       |            3 |
|  342 | gamble-hourouki                                                     |            9 |
|  343 | gambler-jiko-chuushinha-2-dorapon-quest                             |            8 |
|  344 | game-no-tetsujin-the-shanghai                                       |            6 |
|  345 | gamera-gyaos-gekimetsu-sakusen                                      |           15 |
|  346 | gan-gan-ganchan                                                     |           17 |
|  347 | ganbare-daiku-no-gen-san                                            |           28 |
|  348 | ganso-pachinko-ou                                                   |            5 |
|  349 | garry-kitchens-super-battletank-war-in-the-gulf                     |            7 |
|  350 | gd-leen                                                             |            3 |
|  351 | gegege-no-kitaro-fukkatsu-tenma-daiou                               |           44 |
|  352 | gekisou-sentai-car-rangers-zenkai-racer-senshi                      |           11 |
|  353 | gekitotsu-dangan-jidousha-kessen-battle-mobile                      |           49 |
|  354 | gekitou-burning-prowrestling                                        |           14 |
|  355 | genjuu-ryodan                                                       |            4 |
|  356 | genocide-2                                                          |           66 |
|  357 | george-foremans-ko-boxing                                           |           16 |
|  358 | get-in-the-hole                                                     |           35 |
|  359 | getsumen-no-anubis                                                  |           70 |
|  360 | ghost-chaser-densei                                                 |           79 |
|  361 | ghost-sweeper-mikami-joreishi-wa-nice-body                          |           42 |
|  362 | ghoul-patrol                                                        |           60 |
|  363 | ginga-eiyuu-densetsu                                                |            3 |
|  364 | ginga-sengoku-gunyuuden-rai                                         |            2 |
|  365 | gionbana                                                            |            5 |
|  366 | go-go-ackman                                                        |           19 |
|  367 | go-go-ackman-2                                                      |           19 |
|  368 | go-go-ackman-3                                                      |           18 |
|  369 | go-go-dodge-league                                                  |            8 |
|  370 | god-mezameyo-to-yobu-koe-ha-kikoe                                   |            4 |
|  371 | gods                                                                |           31 |
