|      | game_id                                                             |   num_soundtracks |
|  183 | captain-tsubasa-v-hasha-no-shougou-champion                         |                15 |
|  184 | caravan-shooting-collection                                         |                11 |
|  185 | carrier-aces                                                        |                 5 |
|  186 | casper                                                              |                 6 |
|  187 | casper-1997                                                         |                11 |
|  188 | castlevania-dracula-x-[castlevania-vampires-kiss]                   |                18 |
|  189 | cb-chara-wars-ushinawareta-gag                                      |                19 |
|  190 | champions-world-class-soccer                                        |                 2 |
|  191 | championship-pool                                                   |                 3 |
|  192 | championship-soccer-94                                              |                 1 |
|  193 | chaos-seed-feng-shui-kairouki                                       |                 6 |
|  194 | cheap-de-gorgeous                                                   |                 6 |
|  195 | chester-cheetah-too-cool-to-fool                                    |                10 |
|  196 | chester-cheetah-wild-wild-quest                                     |                14 |
|  197 | chinhai                                                             |                 5 |
|  198 | choplifter-iii-rescue-survive                                       |                 7 |
|  199 | chou-aniki-bakuretsu-rantou-hen                                     |                 9 |
|  200 | chou-genjin-2                                                       |                13 |
|  201 | chou-mahou-tairiku-wozz                                             |                 2 |
|  202 | choujikuu-yousai-macross-scrambled-valkyrie                         |                18 |
|  203 | christmas-craze                                                     |                 2 |
|  204 | christmas-demo                                                      |                 1 |
|  205 | chrono-trigger                                                      |                21 |
|  206 | chrono-trigger-1995                                                 |                19 |
|  207 | chuck-rock                                                          |                 8 |
|  208 | classic-road                                                        |                 1 |
|  209 | classic-road-ii                                                     |                 3 |
|  210 | clay-fighter                                                        |                 5 |
|  211 | cliffhanger                                                         |                 6 |
|  212 | clock-tower                                                         |                15 |
|  213 | clockworks                                                          |                 8 |
|  214 | clue                                                                |                10 |
|  215 | college-slam                                                        |                 4 |
|  216 | columns                                                             |                 6 |
|  217 | combatribes-the                                                     |                16 |
|  218 | computer-nouryoku-kaiseki-ultra-baken                               |                 5 |
|  219 | congo-the-movie-the-secret-of-zinj                                  |                 4 |
|  220 | congos-caper                                                        |                12 |
|  221 | contra-iii-the-alien-wars                                           |                13 |
|  222 | cool-spot                                                           |                10 |
|  223 | cool-world                                                          |                 6 |
|  224 | corn-buster                                                         |                 6 |
|  225 | coron-land                                                          |                12 |
|  226 | cosmo-gang-the-puzzle                                               |                 2 |
|  227 | cosmo-gang-the-video                                                |                16 |
|  228 | cosmo-police-galivan-ii-arrow-of-justice                            |                 7 |
|  229 | crayon-shin-chan-2-daimaou-no-gyakushuu                             |                 2 |
|  230 | crayon-shin-chan-arashi-wo-yobu-enji                                |                 4 |
|  231 | crayon-shin-chan-nagagutsu-dobon                                    |                 6 |
|  232 | crystal-beans-from-dungeon-explorer                                 |                25 |
|  233 | cu-on-pa-sfc                                                        |                 4 |
|  234 | cyber-knight                                                        |                24 |
|  235 | cyber-knight-ii-chikyuu-teikoku-no-yabou                            |                 1 |
|  236 | cyber-spin                                                          |                17 |
|  237 | cybernator                                                          |                13 |
|  238 | cyborg-009                                                          |                14 |
|  239 | d-force                                                             |                13 |
|  240 | daffy-duck-the-marvin-missions                                      |                10 |
|  241 | daibakushou-jinsei-gekijou                                          |                 9 |
|  242 | daikaijuu-monogatari                                                |                 2 |
|  243 | daikaijuu-monogatari-2                                              |                72 |
